               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.021944,            0.023951,           0.0065583,             0.77885,             0.89913,             0.85448,             0.57592,            0.025425,            0.022332,            0.010174,            0.002575,            0.002575,            0.002575
                  77,            0.022053,            0.023587,           0.0070679,             0.80439,             0.87269,             0.85221,             0.58036,             0.02516,            0.022314,               0.011,            0.002476,            0.002476,            0.002476
                  78,            0.022115,            0.024231,           0.0072389,             0.78084,              0.8791,              0.8459,              0.5636,            0.025909,            0.022044,            0.011279,            0.002377,            0.002377,            0.002377
                  79,            0.021602,            0.022226,           0.0071647,             0.80059,             0.87204,             0.86064,             0.58739,            0.024939,            0.022065,            0.010182,            0.002278,            0.002278,            0.002278
                  80,            0.021769,            0.024544,           0.0070645,             0.80632,             0.87674,             0.85973,             0.57456,            0.025162,            0.021908,            0.010919,            0.002179,            0.002179,            0.002179
                  81,            0.021484,            0.023012,            0.006704,             0.80682,              0.8761,             0.85871,              0.5842,             0.02494,            0.022104,            0.009999,             0.00208,             0.00208,             0.00208
                  82,            0.021186,            0.023465,            0.005791,             0.82261,             0.85125,             0.85382,             0.57522,             0.02536,            0.021994,            0.010622,            0.001981,            0.001981,            0.001981
                  83,            0.020922,            0.022791,           0.0068145,             0.82086,             0.88405,             0.85845,             0.57755,            0.025623,            0.022168,           0.0087837,            0.001882,            0.001882,            0.001882
                  84,            0.021176,            0.022266,           0.0063223,             0.81526,             0.88456,             0.86511,             0.57942,            0.025132,            0.021998,           0.0096556,            0.001783,            0.001783,            0.001783
                  85,             0.02113,            0.024062,           0.0060873,             0.80284,             0.89725,             0.85172,             0.57809,            0.025328,            0.022293,             0.00955,            0.001684,            0.001684,            0.001684
                  86,            0.019969,            0.022988,           0.0058907,             0.82173,             0.86761,             0.85044,             0.57704,            0.025523,            0.022296,            0.010541,            0.001585,            0.001585,            0.001585
                  87,            0.021034,            0.023452,           0.0067221,             0.84062,              0.8782,             0.86631,             0.58483,            0.025167,            0.021958,           0.0097414,            0.001486,            0.001486,            0.001486
                  88,            0.020745,            0.022137,           0.0057273,             0.83509,             0.89873,             0.87592,             0.59328,              0.0249,            0.022144,           0.0079545,            0.001387,            0.001387,            0.001387
                  89,            0.019708,            0.022765,           0.0055371,             0.82279,             0.89893,              0.8669,             0.58612,            0.024955,            0.022372,           0.0082292,            0.001288,            0.001288,            0.001288
                  90,            0.020255,            0.021906,           0.0060339,             0.83101,             0.88826,             0.87607,             0.59842,            0.024695,            0.022162,           0.0084511,            0.001189,            0.001189,            0.001189
                  91,            0.019804,            0.022626,           0.0056144,             0.80979,             0.89327,             0.86802,             0.59215,            0.024943,            0.022071,           0.0095632,             0.00109,             0.00109,             0.00109
                  92,            0.019556,            0.022505,           0.0047461,             0.82183,             0.88604,             0.86628,             0.59437,            0.024585,            0.022116,           0.0089021,            0.000991,            0.000991,            0.000991
                  93,            0.019967,            0.024989,           0.0048008,             0.83299,             0.89285,             0.86855,             0.58894,            0.024849,            0.022128,            0.009183,            0.000892,            0.000892,            0.000892
                  94,             0.01936,             0.02338,           0.0057034,             0.82169,             0.88093,              0.8697,             0.58996,             0.02505,            0.022232,           0.0098216,            0.000793,            0.000793,            0.000793
                  95,            0.020381,            0.022539,           0.0055772,              0.8064,             0.89144,             0.86468,             0.59194,            0.024736,             0.02218,           0.0097571,            0.000694,            0.000694,            0.000694
                  96,            0.019171,            0.021988,           0.0063857,              0.8173,             0.88536,             0.86331,             0.58551,            0.024953,             0.02243,            0.009892,            0.000595,            0.000595,            0.000595
                  97,            0.019057,            0.022095,            0.004462,             0.81184,             0.88366,             0.86648,             0.59489,            0.024735,             0.02242,           0.0096639,            0.000496,            0.000496,            0.000496
                  98,            0.018931,            0.021809,           0.0054747,             0.81648,             0.88903,             0.86751,             0.58968,            0.024872,            0.022317,           0.0091901,            0.000397,            0.000397,            0.000397
                  99,            0.018881,            0.021512,           0.0043379,             0.81222,             0.89697,             0.86779,              0.5901,             0.02491,            0.022396,           0.0091731,            0.000298,            0.000298,            0.000298
